Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
278	109	109	109	93.0000	0.8791	0.8785
279	109	109	109	92.0000	0.8697	0.8691
280	109	109	109	93.0000	0.8791	0.8785
281	109	109	109	93.0000	0.8791	0.8785
282	109	109	109	92.0000	0.8697	0.8691
283	109	109	109	93.0000	0.8791	0.8785
284	109	109	109	92.0000	0.8697	0.8691
285	109	109	109	92.0000	0.8697	0.8691
286	109	109	109	93.0000	0.8791	0.8785
287	109	109	109	93.0000	0.8791	0.8785
288	109	109	109	91.0000	0.8602	0.8596
289	109	109	109	93.0000	0.8791	0.8785
290	109	109	109	93.0000	0.8791	0.8785
291	109	109	109	93.0000	0.8791	0.8785
292	109	109	109	93.0000	0.8791	0.8785
293	109	109	109	93.0000	0.8791	0.8785
294	109	109	109	92.0000	0.8697	0.8691
295	109	109	109	93.0000	0.8791	0.8785
296	109	109	109	93.0000	0.8791	0.8785
297	109	109	109	93.0000	0.8791	0.8785
298	109	109	109	93.0000	0.8791	0.8785
299	109	109	109	93.0000	0.8791	0.8785
300	109	109	109	93.0000	0.8791	0.8785
301	109	109	109	93.0000	0.8791	0.8785
302	109	109	109	93.0000	0.8791	0.8785
303	109	109	109	93.0000	0.8791	0.8785
304	109	109	109	93.0000	0.8791	0.8785
305	109	109	109	92.0000	0.8697	0.8691
306	109	109	109	93.0000	0.8791	0.8785
307	109	109	109	93.0000	0.8791	0.8785
308	109	109	109	93.0000	0.8791	0.8785
309	109	109	109	93.0000	0.8791	0.8785
310	109	109	109	93.0000	0.8791	0.8785
311	109	109	109	93.0000	0.8791	0.8785
312	109	109	109	92.0000	0.8697	0.8691
313	109	109	109	93.0000	0.8791	0.8785
314	109	109	109	93.0000	0.8791	0.8785
315	109	109	109	92.0000	0.8697	0.8691
316	109	109	109	93.0000	0.8791	0.8785
317	109	109	109	93.0000	0.8791	0.8785
318	109	109	109	93.0000	0.8791	0.8785
319	109	109	109	93.0000	0.8791	0.8785
320	109	109	109	93.0000	0.8791	0.8785
321	109	109	109	93.0000	0.8791	0.8785
322	109	109	109	93.0000	0.8791	0.8785
323	109	109	109	93.0000	0.8791	0.8785
324	109	109	109	93.0000	0.8791	0.8785
325	109	109	109	92.0000	0.8697	0.8691
326	109	109	109	92.0000	0.8697	0.8691
327	109	109	109	92.0000	0.8697	0.8691
328	109	109	109	92.0000	0.8697	0.8691
329	109	109	109	93.0000	0.8791	0.8785
330	109	109	109	93.0000	0.8791	0.8785
331	109	109	109	93.0000	0.8791	0.8785
332	109	109	109	93.0000	0.8791	0.8785
333	109	109	109	93.0000	0.8791	0.8785
334	109	109	109	91.0000	0.8602	0.8596
335	109	109	109	92.0000	0.8697	0.8691
336	109	109	109	92.0000	0.8697	0.8691
337	109	109	109	93.0000	0.8791	0.8785
338	109	109	109	93.0000	0.8791	0.8785
339	109	109	109	93.0000	0.8791	0.8785
340	109	109	109	92.0000	0.8697	0.8691
341	109	109	109	93.0000	0.8791	0.8785
342	109	109	109	93.0000	0.8791	0.8785
343	109	109	109	93.0000	0.8791	0.8785
344	109	109	109	93.0000	0.8791	0.8785
345	109	109	109	93.0000	0.8791	0.8785
346	109	109	109	93.0000	0.8791	0.8785
347	109	109	109	93.0000	0.8791	0.8785
348	109	109	109	93.0000	0.8791	0.8785
349	109	109	109	93.0000	0.8791	0.8785
350	109	109	109	93.0000	0.8791	0.8785
351	109	109	109	93.0000	0.8791	0.8785
352	109	109	109	93.0000	0.8791	0.8785
353	109	109	109	93.0000	0.8791	0.8785
354	109	109	109	92.0000	0.8697	0.8691
355	109	109	109	92.0000	0.8697	0.8691
356	109	109	109	93.0000	0.8791	0.8785
357	109	109	109	92.0000	0.8697	0.8691
358	109	109	109	93.0000	0.8791	0.8785
359	109	109	109	93.0000	0.8791	0.8785
360	109	109	109	93.0000	0.8791	0.8785
361	109	109	109	92.0000	0.8697	0.8691
362	109	109	109	92.0000	0.8697	0.8691
363	109	109	109	92.0000	0.8697	0.8691
364	109	109	109	93.0000	0.8791	0.8785
365	109	109	109	93.0000	0.8791	0.8785
366	109	109	109	92.0000	0.8697	0.8691
367	109	109	109	93.0000	0.8791	0.8785
368	109	109	109	92.0000	0.8697	0.8691
369	109	109	109	91.0000	0.8602	0.8596
370	109	109	109	93.0000	0.8791	0.8785
371	109	109	109	93.0000	0.8791	0.8785
372	109	109	109	93.0000	0.8791	0.8785
373	109	109	109	92.0000	0.8697	0.8691
374	109	109	109	92.0000	0.8697	0.8691
375	109	109	109	93.0000	0.8791	0.8785
